id,name,region,regime_type,alliance_block,gdp,population,fx_reserves,public_debt_pct_gdp,energy_reserve,energy_production,energy_consumption,food_reserve,food_production,food_consumption,metals_reserve,metals_production,metals_consumption,trust_gov,social_tension,inequality_gini,climate_risk,co2_annual_emissions,biodiversity_local,pdi,idv,mas,uai,lto,ind,traditional_secular,survival_self_expression,tech_level,security_index,military_power,water_stress,regime_stability,debt_crisis_prone,conflict_proneness
C01,United States,North America,Democracy,Western,21.060473613,326423290.60781395,0.4649893039918615,78.49054864266515,2.423093615238642,0.04935566979242814,0.20636419127818198,9.220891583690463,196.5164109182545,192.38383525648663,0.0,464.2284910840236,166.14906375160066,0.5185011540985693,0.28213807618623465,43.978513249782395,0.6005913339752446,4.83558949779151,0.6659786329524114,40.0,91.0,62.0,46.0,26.0,68.0,4.5,7.5,1.0006723581241395,0.5,0.85,0.3957842753148658,0.6623489760414234,0.2194699664250736,0.3782423729931513
C02,China,East Asia,Autocracy,Eurasian,14.9964141667151,1398321292.5739763,3.34519376388814,43.612716923528346,2.423093615238642,0.04935566979242814,0.1381475825674942,9.296147913256032,702.2374220562623,708.7228889460962,0.0,277.80911657162954,99.3093305838997,0.5238412927648353,0.3436493837625111,36.78978995495693,0.7180123641306667,11.13089740062071,0.5085320869842211,80.0,20.0,66.0,30.0,87.0,24.0,7.0,4.0,1.0004669808797049,0.5,0.6699999999999999,0.5261307160768232,0.7567034881103836,0.586924674033501,0.5213495470650329
C03,Japan,East Asia,Democracy,Western,5.05406800537628,129217855.30447678,1.356026643119405,167.5814237468902,0.3028867019048302,0.006169458724053518,0.031857003998506536,9.958120954450981,60.00704007862156,57.85090445811441,0.0,63.49356326051754,22.86878965668098,0.1942436890520262,0.6207656369686302,34.596261998018214,0.6807850361006221,1.1384868018695482,0.6371315276086061,54.0,46.0,95.0,92.0,88.0,42.0,7.5,6.5,1.0005949084856662,0.5,0.6,0.5951465337549102,0.5003391772506796,0.5002850310909868,0.4026229351959982
C04,Germany,Europe,Democracy,Western,3.94139895707394,83561827.2189424,0.09426938406337795,0.0,0.6057734038096605,0.012338917448107035,0.03449620641622288,11.538771826245272,39.12374295152202,39.06606443047599,0.0,72.53460971647623,26.034319208782197,0.5365348501396475,0.2965680645113082,35.702327724011866,0.5788395999146165,0.7279467577455578,0.5913371752828588,35.0,67.0,66.0,65.0,83.0,40.0,8.0,7.5,1.0006728697893872,0.5,0.65,0.2693919756361003,0.6709547508980012,0.218069052279073,0.448153938029727
C05,India,South Asia,Democracy,IndoPacific,2.67485157858727,1378188521.0052972,0.334310993025188,19.082791378412516,1.5144335095241506,0.03084729362026758,0.027511693370218186,10.385243493474524,579.9908508876415,582.7720490613794,0.0,52.930466241500056,18.850200040742788,0.5502494087823482,0.3001238207869348,26.041209068167593,0.6197475842397898,2.463789602890942,0.6058505762985795,77.0,48.0,56.0,40.0,51.0,26.0,3.5,4.5,1.0003365265084818,0.5,0.74,0.7482418138556036,0.6259328143826288,0.7223365336846855,0.4699296523087955
C06,United Kingdom,Europe,Democracy,Western,2.72400147830459,66869982.54526143,0.166291840306051,177.21013660905058,0.3028867019048302,0.006169458724053518,0.025865659658655626,9.708423460296316,31.221390337870876,31.967329162298828,0.0,46.681353932365504,16.58506229824479,0.5357554104433636,0.2786100996261633,37.07649842378282,0.49871243166584817,0.32569773700288157,0.5928685470447516,35.0,89.0,66.0,35.0,51.0,69.0,6.5,7.5,1.000669290764681,0.5,0.7,0.3210591051612422,0.5993008139124154,0.2041034979217373,0.3571891625682956
C07,France,Europe,Democracy,Western,2.64792605511005,68086780.26552284,0.055192504338294,61.67877654667284,0.3028867019048302,0.006169458724053518,0.02310921934199133,9.420705509193194,35.46617575820218,35.01830646746826,0.0,41.334088567737815,14.708943064063874,0.5375531923262851,0.292645883285961,35.026020521018424,0.49519301359711415,0.2970219355362801,0.5928877582693237,68.0,71.0,43.0,86.0,63.0,48.0,7.5,7.0,1.000673208644741,0.5,0.69,0.2625626061875527,0.6837568562275942,0.2106063416183932,0.4487511955411998
C08,Italy,Europe,Democracy,Western,1.90748109407923,61560929.199090116,0.06278711875839342,122.21269864782013,0.3028867019048302,0.006169458724053518,0.01751746682708092,12.155533044606395,32.22430464189468,33.802350089277034,0.0,34.08871487554821,12.156666030212822,0.5326798296928018,0.2909051769878224,36.94488049337705,0.5183667509945861,0.31054279883106467,0.5937985372990265,50.0,76.0,70.0,75.0,61.0,30.0,6.5,6.5,1.000669551477808,0.5,0.65,0.2950214002445436,0.5736271677842548,0.2106883565615579,0.3751950787714537
C09,Brazil,South America,Democracy,Latin,1.47610729215195,203455624.59259516,0.354174892918288,70.12923143398166,0.9086601057144904,0.01850837617216055,0.01656779825847293,10.20470370975153,115.81480450987476,110.63863073716207,0.0,33.55877400030025,12.049484170180424,0.48987902459593735,0.358148297177633,55.513979979174984,0.5369758888802456,0.4318752254450543,0.8285916940932131,69.0,38.0,49.0,76.0,44.0,59.0,4.0,5.5,1.0005948720241542,0.5,0.64,0.4247980162414667,0.6758384135908102,0.7033722519983744,0.3270361678880112
C10,Canada,North America,Democracy,Western,1.65568473000019,37267990.50259777,0.0796954458698993,12.690107769430314,4.895684673022057,0.024999999999999998,0.016433267674913953,11.069427770267344,22.157462415449604,22.830124680166897,0.0,32.81005056639622,11.707539495116396,0.5389173484665379,0.28481018257005986,34.69747101085326,0.5041083341942194,0.5161691464637227,0.6957063761891584,39.0,80.0,52.0,48.0,36.0,68.0,5.5,7.5,1.0006736341579976,0.5,0.63,0.3135427912744069,0.6410837030231167,0.2767727952452168,0.3200777769259371
