id,name,region,regime_type,alliance_block,gdp,population,fx_reserves,public_debt_pct_gdp,energy_reserve,energy_production,energy_consumption,food_reserve,food_production,food_consumption,metals_reserve,metals_production,metals_consumption,trust_gov,social_tension,inequality_gini,climate_risk,co2_annual_emissions,biodiversity_local,pdi,idv,mas,uai,lto,ind,traditional_secular,survival_self_expression,tech_level,security_index,military_power,water_stress,regime_stability,debt_crisis_prone,conflict_proneness
C01,United States,North America,Democracy,Western,21.380976119,325517592.1583274,0.4649893039918615,79.6128761420341,2.447969589139673,0.04976274833677738,0.20636419127818198,9.040089787931826,196.5164109182545,192.38383525648663,0.0,389.4614123958033,151.730182043941,0.5350950203455966,0.2837383054258284,43.09042632657475,0.606919095171667,5.064199618637253,0.6659786329524114,40.0,91.0,62.0,46.0,26.0,68.0,4.5,7.5,1.00053860688891,0.5,0.85,0.3957842753148658,0.6623489760414234,0.2194699664250736,0.3782423729931513
C02,China,East Asia,Autocracy,Eurasian,14.560167101283401,1395198840.6122987,3.34519376388814,48.477073071206334,2.447969589139673,0.04976274833677738,0.1381475825674942,9.113870503192189,702.2374220562623,708.7228889460962,0.0,233.11991780887467,90.69098836864106,0.5405163176050324,0.33292028122491896,36.47202320464427,0.7287247680821171,11.794984425329622,0.5085320869842211,80.0,20.0,66.0,30.0,87.0,24.0,7.0,4.0,1.00026857933847,0.5,0.6699999999999999,0.5261307160768232,0.7567034881103836,0.586924674033501,0.5213495470650329
C03,Japan,East Asia,Democracy,Western,5.11799385301651,128817893.90060557,1.2881477401504149,158.1204063025908,0.3059961986424591,0.0062203435420971715,0.031857003998506536,9.762863680834295,60.00704007862156,57.85090445811441,0.0,53.2026079150111,20.88417195609609,0.25679003230986874,0.575305638641143,33.4957364777196,0.6874238220162344,1.2228306618842457,0.6371315276086061,54.0,46.0,95.0,92.0,88.0,42.0,7.5,6.5,1.0004839467073474,0.5,0.6,0.5951465337549102,0.5003391772506796,0.5002850310909868,0.4026229351959982
C04,Germany,Europe,Democracy,Western,3.9598947940392097,83193316.5991032,0.09426938406337795,1.2518987882571273,0.6119923972849183,0.012440687084194345,0.03449620641622288,11.312521398279678,39.12374295152202,39.06606443047599,0.0,60.81916607252423,23.774987976124162,0.549649172884992,0.2955484983923578,34.187189731543405,0.588261807218743,0.8129962423531378,0.5913371752828588,35.0,67.0,66.0,65.0,83.0,40.0,8.0,7.5,1.0005390150770042,0.5,0.65,0.2693919756361003,0.6709547508980012,0.218069052279073,0.448153938029727
C05,India,South Asia,Democracy,IndoPacific,2.83560625655819,1368352756.9645965,0.334310993025188,22.64385963527317,1.5299809932122952,0.03110171771048585,0.027511693370218186,10.18161126811228,579.9908508876415,582.7720490613794,0.0,44.4478762231658,17.214326816927684,0.5602546622815805,0.29888993099590977,25.68493652438992,0.6188407875186265,2.561043836090112,0.6058505762985795,77.0,48.0,56.0,40.0,51.0,26.0,3.5,4.5,1.0002695288731145,0.5,0.74,0.7482418138556036,0.6259328143826288,0.7223365336846855,0.4699296523087955
C06,United Kingdom,Europe,Democracy,Western,2.8757100800153,66530288.313119315,0.137534739505898,166.3709146414342,0.3059961986424591,0.0062203435420971715,0.025865659658655626,9.51806221597678,31.221390337870876,31.967329162298828,0.0,39.21807589815535,15.14576408016949,0.5493017577593482,0.2812470333084391,35.22945677639071,0.4988012603368292,0.3578141996414224,0.5928685470447516,35.0,89.0,66.0,35.0,51.0,69.0,6.5,7.5,1.0005359370357325,0.5,0.7,0.3210591051612422,0.5993008139124154,0.2041034979217373,0.3571891625682956
C07,France,Europe,Democracy,Western,2.7227935151717597,67787740.78452456,0.055192504338294,70.73447445240117,0.3059961986424591,0.0062203435420971715,0.02310921934199133,9.23598579332666,35.46617575820218,35.01830646746826,0.0,34.715064188909075,13.432459734597053,0.5504700990517432,0.2924605454382152,33.57074872895417,0.4968962296217493,0.33090257200777884,0.5928877582693237,68.0,71.0,43.0,86.0,63.0,48.0,7.5,7.0,1.0005391687296528,0.5,0.69,0.2625626061875527,0.6837568562275942,0.2106063416183932,0.4487511955411998
C08,Italy,Europe,Democracy,Western,2.01960679658353,61305354.50584519,0.0470336929795149,122.10678695518524,0.3059961986424591,0.0062203435420971715,0.01751746682708092,11.917189259418034,32.22430464189468,33.802350089277034,0.0,28.618215161952442,11.10167645945471,0.5464728562167408,0.2910187615599963,35.6369532314143,0.5230540177512464,0.3520402875501873,0.5937985372990265,50.0,76.0,70.0,75.0,61.0,30.0,6.5,6.5,1.0005361744302377,0.5,0.65,0.2950214002445436,0.5736271677842548,0.2106883565615579,0.3751950787714537
C09,Brazil,South America,Democracy,Latin,1.8732881588386299,203174408.61747655,0.354174892918288,57.477461724764396,0.9179885959273771,0.01866103062629151,0.01656779825847293,10.00461148014856,115.81480450987476,110.63863073716207,0.0,28.13650612371905,11.003796141821157,0.5142237868429086,0.34336277807071597,53.57254761628624,0.5374061089843359,0.4819545646874768,0.8285916940932131,69.0,38.0,49.0,76.0,44.0,59.0,4.0,5.5,1.0003988813978388,0.5,0.64,0.4247980162414667,0.6758384135908102,0.7033722519983744,0.3270361678880112
C10,Canada,North America,Democracy,Western,1.74372518367252,36966226.360711925,0.0796954458698993,21.349260122714416,4.871965022794116,0.024999999999999998,0.016433267674913953,10.85238016692877,22.157462415449604,22.830124680166897,0.0,27.541657793593842,10.691526384622954,0.5516371187197743,0.28625503101416455,33.1942164226303,0.5075873708944566,0.5569565902333942,0.6957063761891584,39.0,80.0,52.0,48.0,36.0,68.0,5.5,7.5,1.0005394141223347,0.5,0.63,0.3135427912744069,0.6410837030231167,0.2767727952452168,0.3200777769259371
C11,South Korea,East Asia,Democracy,Western,1.7510457520546299,52044592.057787195,0.363149330364607,0.0,6.529790038725487,0.024999999999999998,0.013949086953697504,12.125868487852609,22.34817551985029,23.450519107631735,0.0,25.762963627058028,9.950695973684361,0.5463938133486689,0.3285074899088873,33.877320787475576,0.8262380602995545,0.6674815987751419,0.6443619142400978,60.0,18.0,39.0,85.0,100.0,29.0,6.0,6.0,1.0005370925558073,0.5,0.78,0.5097499816689529,0.6821231437156319,0.463974538338331,0.3052543372541993
C12,Russia,Europe,Hybrid,Eurasian,1.6931150027083202,146226468.39849862,0.319835210258841,0.0,4.871965022794116,0.024999999999999998,0.015663270628705265,10.551323352732126,68.13756149372794,65.27234480043286,0.0,25.729974781742424,10.113065758723474,0.5470276626954861,0.3149840971801788,34.500996833300185,0.7167660215284246,1.8684585760976065,0.5851862180925412,93.0,39.0,36.0,95.0,81.0,20.0,5.5,4.5,1.0004013776975524,0.5,0.9,0.331809164694839,0.525647564962808,0.4888266593985066,0.5110525335398564
C13,Australia,Oceania,Democracy,Western,1.39834960295635,25285698.791271556,0.042752855070596,24.184754376128172,1.5563149909313718,0.024999999999999998,0.013114697908298832,10.225919763381743,16.662561719840827,16.831002392598876,0.0,21.282864123323638,8.300606644362933,0.5471202816600151,0.28121497845773885,36.94962403823415,0.7224931939480107,0.3701859167927314,0.8969087931296347,36.0,90.0,61.0,51.0,21.0,71.0,6.0,8.0,1.000538868915616,0.5,0.7,0.265570078064151,0.5851027157024393,0.4972428797727028,0.3741795627808728
C14,Spain,Europe,Democracy,Western,1.40349638768627,47309376.61598682,0.0443776622358777,65.31661213425114,1.5563149909313718,0.024999999999999998,0.012245383235345136,11.333156987122647,22.356498742246433,23.329742101757446,0.0,21.23599301421444,8.175521924734072,0.547614679139913,0.3072499177807998,35.00468392477908,0.5226130449346615,0.2819236026327151,0.5948660691028472,57.0,51.0,42.0,86.0,48.0,44.0,6.5,6.5,1.000739322903687,0.5,0.62,0.3418576692518522,0.5961419414667877,0.2670782805045285,0.3496846286991404
C15,Mexico,North America,Democracy,Latin,1.30410620390245,122143825.81827675,0.173457747218176,35.130429144765856,1.224851005099551,0.02489898264554791,0.013597615218334873,10.860246570331475,83.11867058963362,82.05270169808682,0.0,21.439353111211595,8.431237924500481,0.5272467456162906,0.3387693706309707,46.43778950314528,0.592049929180103,0.4441826259193526,0.6866993796442563,81.0,30.0,69.0,82.0,24.0,97.0,4.0,5.5,1.0008031728256868,0.5,0.55,0.3788364965331059,0.6913188773343681,0.2171702480873182,0.3892059041944141
C16,Indonesia,East Asia,Democracy,IndoPacific,1.1190998713502,267210250.06669086,0.103268247088719,33.326974095055775,0.9179885959273771,0.01866103062629151,0.01036781507014277,11.087624200635759,128.2917383228537,130.57855857555302,0.0,18.85947866011406,7.418335596527781,0.5397810344240569,0.3374275825432569,36.758100577460674,0.6345931622867912,0.5427551346635304,0.6215160296448294,78.0,14.0,46.0,48.0,62.0,38.0,3.0,4.0,1.0002675933873613,0.5,0.58,0.5027673506178166,0.5898887194170478,0.5009211165618559,0.3731438265287047
C17,Netherlands,Europe,Democracy,Western,0.928903005576469,18136318.31533764,0.0173412913833571,0.0,0.6119923972849183,0.012440687084194345,0.00858567046409701,11.941571533939607,9.347513726280743,9.049106936363518,0.0,13.10194039352979,5.00802930822083,0.5603667666672275,0.2827836074918696,27.73008329212291,0.508689047586809,0.17755720133469882,0.5979257108889158,38.0,80.0,14.0,53.0,67.0,68.0,8.5,8.5,1.0005403155049946,0.5,0.64,0.2967958139619332,0.6511791390383492,0.4890669935463257,0.3475064972354517
C18,Saudi Arabia,Middle East,Autocracy,MENA,0.888890133333333,30347298.208806142,0.615985084477742,0.0,0.3059961986424591,0.0062203435420971715,0.009214082237309863,8.767214067986211,11.596244803507876,11.704859303717248,0.0,15.780461761541813,6.088748946151322,0.523109829911196,0.3470168431483512,47.2958116920051,0.5968436513701137,0.6838125894049025,0.546329997217154,95.0,25.0,60.0,80.0,36.0,52.0,2.0,3.5,1.0008037342766114,0.5,1.3,0.873894635729088,0.7989027741501268,0.6540806909988632,0.8263221298082706
C19,Turkey,Europe,Hybrid,MENA,0.7758531442226131,78857885.82403855,0.0929208273786929,28.98057135196794,0.3059961986424591,0.0062203435420971715,0.008629276459790839,9.324706387273661,45.637357723402495,44.434306720573275,0.0,13.579560435410913,5.1811253383945255,0.5267588154428865,0.33359410095496767,46.99987966606412,0.6701941751421203,0.29308825054092114,0.5910772713349244,66.0,37.0,45.0,85.0,46.0,49.0,4.5,5.0,1.0008018932815537,0.5,0.75,0.3458512643338287,0.5895459719690443,0.4660501321855795,0.5889895501707939
C20,Switzerland,Europe,Democracy,Western,0.721369112726724,10415565.215735026,0.566959697217434,0.0,0.3059961986424591,0.0062203435420971715,0.0067630124325392775,8.830200033405697,4.369959229388893,4.1989280789719,3.7701080304949794,11.760745352411803,4.607808299840223,0.547836303465905,0.29618552697377803,37.41797340742026,0.3742732887506248,0.03677967032809053,0.5989125635163834,34.0,68.0,70.0,58.0,74.0,66.0,8.0,8.0,1.0005387810805482,0.5,0.57,0.25810838117474,0.6630694039502144,0.456568116584306,0.4597368636935113
C99,Rest of World,Global South,Mixed,Western,17.23747277497271,3036043347.3470764,3.40194462265512,20.975008287307222,0.0,0.0,0.0,10.499415061189431,1773.3741135736732,1774.045446995388,0.0,0.0,0.0,0.42114293884813825,0.436281022313676,43.92079044453015,0.7070374577783517,8.202329692907567,0.7495482963031905,70.0,35.0,50.0,70.0,40.0,30.0,4.5,3.5,0.5501395540711207,0.45,2.0,0.65,0.45,0.65,0.55
